state,totalcases
Andaman and Nicobar Islands,10
Andhra Pradesh,304
Assam,27
Arunachal Pradesh,1
Bihar,32
Chandigarh,18
Chhattisgarh,10
Delhi,525
Dadra and Nagar Havelli,1
Gujarat,165
Goa,7
Himachal Pradesh,18
Haryana,133
Jharkhand,4
Kerala,327
Karnataka,175
Madya pradesh,268
Maharashtra,891
Manipur,2
Mizoram,1
Odisha,42
Punjab,90
Puducherry,5
Rajasthan,325
Telengana,364
Tamil Nadu,62
Tripura,1
Uttar Pradesh,305
Union Territory of Ladakh,14
Union Territory of Jammu and Kashmir,109
Uttarakhand,31
West Bengal,91
